Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Alton,"PMT Management, Inc.",190703534,5,748340.84,704458.7,43882.14,210091,166208.86,43882.14,15358.79,13100.14,2258.65
Alton,"POP's SALOON, INC.",140704215,3,264853.38,241149.03,23704.35,65741,42036.85,23704.15,8296.61,7076.53,1220.08
Alton,Prem Deep Inc.,230700874,6,692887.54,633791.9,59095.64,236308,177212.36,59095.64,20683.54,17641.85,3041.69
Alton,"Reggie's Place, Inc.",160702221,6,1455413.72,1372854.43,82559.29,430246,347686.71,82559.29,28895.79,24646.39,4249.4
Alton,Sapana Inc.,220701468,6,2090579.54,1885999.85,204579.69,694582,490002.31,204579.69,71603.21,61073.34,10529.87
Alton,Slottys Alton Inc.,190700327,6,3684700.51,3363271.43,321429.08,1120186,798757.32,321428.68,112500.21,95956.08,16544.13
Alton,"Sports Tap, LLC",210700723,6,1792291.06,1638654.27,153636.79,676478,522841.21,153636.79,53773.03,45865.24,7907.79
Alton,Stampede Market & Grill LLC,210703754,6,900465.58,816395.95,84069.63,368284,284214.72,84069.28,29424.37,25097.26,4327.11
Alton,"The Conservatory, LLC",220700186,3,191221.56,180519.38,10702.18,59467,48764.82,10702.18,3745.72,3194.89,550.83
Alton,Tony's West Ninth Inc.,200700003,3,105278.75,95546.65,9732.1,45400,35667.95,9732.05,3406.28,2905.35,500.93
Alton,"Town Club of Alton, Inc.",120701189,6,621200.53,562789.7,58410.83,195880,137468.97,58411.03,20444.01,17437.55,3006.46
Alton,"Van Lenhardt, Incorporated",130706097,6,2192376.5,1995175.24,197201.26,824688,627486.74,197201.26,69020.6,58870.51,10150.09
Alton,"Van Lenhardt, Incorporated",200702976,6,2059949.08,1880719.11,179229.97,751557,572327.24,179229.76,62730.56,53505.49,9225.07
Altona,"As Lake, Inc.",200702457,6,699997.15,631956.1,68041.05,246550,178508.93,68041.07,23814.53,20312.39,3502.14
Altona,VIP Gas LLC,200700812,5,643725.7,595403.24,48322.46,212075,163752.86,48322.14,16912.92,14425.72,2487.2
Amboy,"Amboy Long Branch, LTD.",200701720,4,106473.25,101503.77,4969.48,40174,35204.82,4969.18,1739.34,1483.56,255.78
Amboy,BMCCAFF LLC,230702002,5,1539061.95,1404966.26,134095.69,576001,441880.04,134120.96,46942.42,40039.12,6903.3
Amboy,"DABAR, INC.",120703716,6,2362293.29,2164299.4,197993.89,850728,652734.11,197993.89,69297.8,59106.94,10190.86
Amboy,"JP FAMILY, INC.",130701415,6,737910.89,679044.26,58866.63,217530,158663.37,58866.63,20603.46,17573.54,3029.92
Amboy,"LIPS CHRISTOFFERSEN, INC",120706073,6,2246237.12,2054413.03,191824.09,847497,655672.91,191824.09,67138.61,57265.28,9873.33
Amboy,Maria's Pizza of Amboy Inc.,140700730,6,712325.72,651056.94,61268.78,203885,142616.22,61268.78,21444.12,18290.59,3153.53
Amboy,"TWO SISTERS ON MAIN, LLC",160701174,6,3206249.34,2911396.23,294853.11,1181859,887005.89,294853.11,103198.86,88022.56,15176.3
Andalusia,Pathibhara LLC,230700154,6,1416000.46,1293154.91,122845.55,489747,366901.8,122845.2,42995.96,36673.02,6322.94
Andalusia,"SGM SPORTS BAR, INC.",140703025,4,529408.98,488176.06,41232.92,165368,124135.03,41232.97,14431.56,12309.26,2122.3
Andover,"Nuttyprises, LLC",180702972,6,2171004.2,2013907.46,157096.74,702393,545296.26,157096.74,54983.97,46898.09,8085.88
Anna,"Anna Lodge No. 1346, Loyal Order of Moose",120807292,6,567961.8,517880.53,50081.27,160821,110739.73,50081.27,17528.53,14950.8,2577.73
Anna,"Anna-Jonesboro, Illinois Lodge No. 1641 BPO of Elks of the USA",120805216,6,1464094.49,1356148.27,107946.22,479484,371537.78,107946.22,37781.25,32225.18,5556.07
